"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"archimate_type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-synoniemen";"GGM-synoniemen";"GEMMA-bron";"GGM-bron";"GEMMA-url";"GEMMA-alternate-name";"GEMMA-subtypes";"domein-iv3";"domein-dcat";"Datum-tijd-export"
"365";"Voorschriftengebied";"Gebiedsaanwijzing";"8ffff080-afa5-43cf-a1dc-1ab2052f20ac";"EAID_503BD06E_E063_46f2_8B43_BF75A143D6C4";"business-object";"class";"business-object";"Functie of een Beperkingengebied, met een verwijzing naar locatie, veelal een gebied, waarbij aangegeven wordt hoe het gebied beschouwd wordt vanuit de bijbehorende regels.";"Functie of een Beperkingengebied, met een verwijzing naar locatie, veelal een gebied, waarbij aangegeven wordt hoe het gebied beschouwd wordt vanuit de bijbehorende regels.";"Voorbeeld: bebouwde kom. In spreektaal: dit gebied is aangewezen als bebouwde kom en dit is de functie van dit gebied. Informatiekundig: een aangewezen gebied met de naam bebouwde kom heeft een locatieaanduiding naar een locatie/gebied. Deze locatieaandui";"Voorbeeld: bebouwde kom. In spreektaal: dit gebied is aangewezen als bebouwde kom en dit is de functie van dit gebied. Informatiekundig: een aangewezen gebied met de naam bebouwde kom heeft een locatieaanduiding naar een locatie/gebied. Deze locatieaandui";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-8ffff080-afa5-43cf-a1dc-1ab2052f20ac";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Omgevingswet";"";"09072026-00:43:48"
"366";"Aandachtsgebied";"Gebiedsaanwijzing";"8ffff080-afa5-43cf-a1dc-1ab2052f20ac";"EAID_503BD06E_E063_46f2_8B43_BF75A143D6C4";"business-object";"class";"business-object";"Functie of een Beperkingengebied, met een verwijzing naar locatie, veelal een gebied, waarbij aangegeven wordt hoe het gebied beschouwd wordt vanuit de bijbehorende regels.";"Functie of een Beperkingengebied, met een verwijzing naar locatie, veelal een gebied, waarbij aangegeven wordt hoe het gebied beschouwd wordt vanuit de bijbehorende regels.";"Voorbeeld: bebouwde kom. In spreektaal: dit gebied is aangewezen als bebouwde kom en dit is de functie van dit gebied. Informatiekundig: een aangewezen gebied met de naam bebouwde kom heeft een locatieaanduiding naar een locatie/gebied. Deze locatieaandui";"Voorbeeld: bebouwde kom. In spreektaal: dit gebied is aangewezen als bebouwde kom en dit is de functie van dit gebied. Informatiekundig: een aangewezen gebied met de naam bebouwde kom heeft een locatieaanduiding naar een locatie/gebied. Deze locatieaandui";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-8ffff080-afa5-43cf-a1dc-1ab2052f20ac";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Omgevingswet";"";"09072026-00:43:48"
"367";"";"GeboorteIngeschrevenNatuurlijkPersoon";"";"EAID_C9DD308F_7EA7_4c1a_BC7D_68077692C113";"";"class";"";"";"Gegevens over de geboorte van de INGESCHREVEN NATUURLIJK PERSOON.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"368";"";"GeboorteIngeschrevenPersoon";"";"EAID_4904DACB_3C13_43c1_BA00_137D9BFA3856";"";"class";"";"";"Gegevens over de geboorte van de ingeschreven persoon.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"369";"Woning";"Gebouw";"69e60d64-7165-488f-a392-0e75eb4e99fb";"EAID_681DB26F_D779_4796_B467_576E5A25F581";"business-object";"class";"business-object";"Een complex van ruimten uitsluitend bedoeld voor de huisvesting van een afzonderlijk huishouden";"Een complex van ruimten uitsluitend bedoeld voor de huisvesting van een afzonderlijk huishouden";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-69e60d64-7165-488f-a392-0e75eb4e99fb";"";"Sociale huurwoning, Middenhuurwoning, Betaalbare koopwoning, Studentenwoning";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Bouwen en Wonen";"";"09072026-00:43:48"
"370";"GebouwdObject";"GebouwdObject";"f048185d-8eb4-447b-ade2-6160df1dedb3";"EAID_752621CC_D5CA_4f4c_A937_AF6C84E6ADED";"business-object";"class";"";"Een VERBLIJFSOBJECT of een OVERIG GEBOUWD OBJECT";"Een VERBLIJFSOBJECT of een OVERIG GEBOUWD OBJECT";"";"Een gebouwd object is de groepering van de authentieke verblijfsobjecten en de overige bouwwerken en modelleert daarmee de gebouwde omgeving op het niveau van het verblijfsobject en daarmee vergelijkbare objecten voor zover dat door de gemeente als relevant wordt gezien. Het gaat daarbij primair om objecten met een verblijfsfunctie, naar analogie van de verblijfsobjecten, zijnde geen verblijfsobjecten en waarvan de vindbaarheid in het maatschappelijk verkeer op basis van een officieel adres dringend gewenst is.
De minimale verzameling is die van de verblijfsobjecten; een gemeente kan daaraan toevoegen andere (overige) bouwwerken.
Een GEBOUWD OBJECT is een specialisatie van BENOEMD OBJECT.";"";"";"Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).";"Door KING toegevoegd objecttype (maakt geen deel uit van enige basisregistratie).";"https://gemmaonline.nl/index.php/GEMMA/id-f048185d-8eb4-447b-ade2-6160df1dedb3";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"371";"";"Gebouwinstallatie";"";"EAID_6FDC646C_F9E2_4610_8FFE_1ECFA99FFBD7";"";"class";"";"";"Een component aan de buitenzijde van een gebouw, die het aanzicht van het gebouw mede bepaalt.";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"372";"";"Gebruikerrol";"";"EAID_262A7A23_0CBB_4991_A1B2_D5D3E509549C";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"9 Interne Organisatie > ICT";"";"09072026-00:43:48"
"373";"Gebruiksdoel";"Gebruiksdoel";"507292ba-1a0c-4ebf-b696-fc2c5ce1910e";"EAID_A5975EF7_558A_44fa_A656_AB43580D8C35";"business-object";"class";"";"Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan worden verbijzonderd.";"Een aanduiding va alle waarden waarmee het gebruiksdoel van een object kan worden verbijzonderd.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-507292ba-1a0c-4ebf-b696-fc2c5ce1910e";"";"";"9 Interne Organisatie > Vastgoed";"";"09072026-00:43:48"
"374";"Gegeven";"Gegeven";"38d8e66f-29f5-4387-b12f-1291ee266080";"EAID_E846CC36_DF4A_4398_AE4C_122CAFEBAEAA";"business-object";"class";"";"";"bekend feit waaruit je gevolgtrekkingen kunt maken";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-38d8e66f-29f5-4387-b12f-1291ee266080";"";"";"9 Interne Organisatie > ICT";"";"09072026-00:43:48"
"375";"Geluidscherm";"Geluidsscherm";"";"EAID_DD64F32C_3273_4E23_9A61_FCC8EC93977";"";"class";"business-object";"Een scheiding bedoeld om geluidshinder in de buitenlucht te verminderen. (IMGeo)";"Een scheiding bedoeld om geluidshinder in de buitenlucht te verminderen. (IMGeo)";"";"";"";"";"";"";"";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"376";"Gemaal";"Gemaal";"";"EAID_5D70E69A_2A35_4088_886E_32C0B07275C";"";"class";"business-object";"Constructie voor het verpompen van afvalwater, hemelwater of oppervlaktewater binnen het gemeentelijk rioleringssysteem.";"Een constructie ten behoeve van het verplaatsen van water";"";"";"";"";"";"";"";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"377";"Gemachtigde";"Gemachtigde";"c3a7596c-2303-4354-9f02-aa999d7fca47";"EAID_02BDED5E_9106_4aed_94C2_513689353284";"business-object";"class";"";"Een Natuurlijk Persoon of een Niet Natuurlijk Persoon die als vertegenwoordiger van een Initiatiefnemer optreedt.";"Een Natuurlijk Persoon of een Niet Natuurlijk Persoon die als vertegenwoordiger van een Initiatiefnemer optreedt.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-c3a7596c-2303-4354-9f02-aa999d7fca47";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Omgevingswet";"";"09072026-00:43:48"
"378";"Gemeente";"Gemeente";"f830bbc9-38d5-4f61-be23-79091f18282e";"EAID_EA6F820F_C458_4b24_8055_5C2CC76F5904";"business-object";"class";"business-object";"Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.";"Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.";"";"";"";"";"Door KING toegevoegd objecttype,ontleend aan het GFO BG (maakt geen deel uit van enige basisregistratie).";"Door KING toegevoegd objecttype,ontleend aan het GFO BG (maakt geen deel uit van enige basisregistratie).";"https://gemmaonline.nl/index.php/GEMMA/id-f830bbc9-38d5-4f61-be23-79091f18282e";"GEMEENTE (BAG)";"";"99 Kern > BAG";"";"09072026-00:43:48"
"379";"Gemeente";"Gemeente";"9f1ea854-eb45-47a0-98f4-4043b4a69be0";"EAID_B0D9792B_46E7_4b88_B267_C72691616733";"business-object";"class";"business-object";"Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.";"Een gedeelte van het grondgebied van Nederland, ingesteld op basis van artikel 123 van de Grondwet.";"";"";"";"";"Door KING toegevoegd objecttype, ontleend aan het GFO BG (maakt geen deel uit van enige basisregistratie).";"Door KING toegevoegd objecttype, ontleend aan het GFO BG (maakt geen deel uit van enige basisregistratie).";"https://gemmaonline.nl/index.php/GEMMA/id-9f1ea854-eb45-47a0-98f4-4043b4a69be0";"Gemeente (RSGB Model)";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"380";"Gemeentebegrafenis";"Gemeentebegrafenis";"a0f96391-4935-4c7a-be2b-2fa1b00da57f";"EAID_F2DBE01F_7535_4f26_9DF2_081EF8632F36";"business-object";"class";"business-object";"Uitvaart die de gemeente verzorgt wanneer niemand anders in de lijkbezorging voorziet, op grond van artikel 21 van de Wet op de lijkbezorging.";"Teraardebestelling onder verantwoordelijjkheid van de gemeente.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-a0f96391-4935-4c7a-be2b-2fa1b00da57f";"";"";"6 Sociaal Domein > Gemeentebegrafenissen";"";"09072026-00:43:48"
"381";"";"Generalisatie";"";"EAID_0CF1C34D_8AD5_4ac5_8538_87252E66A8C8";"";"class";"";"";"De typering van het hiërarchische verband tussen een meer generiek object van een objecttype en een meer specifiek object van een ander objecttype waarbij het laatstgenoemde object eigenschappen van het eerstgenoemde object overerft.
Toelichting
Een generalisatierelatie geeft aan dat bepaalde eigenschappen van een objecttype (vaak attribuutsoorten en/of relatiesoorten) ook gelden voor de gerelateerde objecttypen, én dat deze qua semantiek, structuur en syntax gelijk zijn. We spreken dan van een supertype met subtypen. De modelelementen die generiek gelden worden in een generiek objecttype, het supertype, gemodelleerd en deze worden overerft door elk subtype (minimaal twee) die de generalisatie relatie legt naar dit generieke objecttype.
Voorbeeld: PERCEEL is specialisatie van KADASTRAAL ONROERENDE ZAAK, APPARTEMENTSRECHT is specialisatie van KADASTRAAL ONROERENDE ZAAK. PERCEEL en APPARTEMENTSRECHT hebben beide ‘Kadastrale aanduiding’ en een ‘relatie met ONROERENDE ZAAK FILIATIE’.";"";"Een generalisatierelatie geeft aan dat bepaalde eigenschappen van een objecttype (vaak attribuutsoorten en/of relatiesoorten) ook gelden voor de gerelateerde objecttypen, én dat deze qua semantiek, structuur en syntax gelijk zijn. We spreken dan van een s";"";"";"";"";"";"";"";"9 Interne Organisatie > ICT";"";"09072026-00:43:48"
"382";"";"GenotenOpleiding";"";"EAID_261363C5_1E00_4b6a_B570_2129DC044010";"";"class";"";"";"Afgeronde opleiding, een samenhangend geheel van vakken, gericht op de verwezenlijking van welomschreven doelstellingen op het gebied van kennis, inzicht en vaardigheden";"";"";"";"";"";"";"";"";"";"9 Interne Organisatie > HR";"";"09072026-00:43:48"
"383";"GEOObject";"Geo-Object";"f5de1e41-5207-4d9e-a4f8-7889b5c1e2b1";"EAID_05B355EF_39EA_4bfb_B1F3_AB31841C986E";"business-object";"class";"";"Abstractie van een fenomeen in de werkelijkheid, dat direct of indirect is geassocieerd met een locatie relatief ten opzichte van de aarde. [NEN 3610:2011]";"Abstractie van een fenomeen in de werkelijkheid, dat direct of indirect is geassocieerd met een locatie relatief ten opzichte van de aarde. [NEN 3610:2011]";"Bevat een aantal basisgegevens die in alle geo-objecten terugkomen.";"Bevat een aantal basisgegevens die in alle geo-objecten terugkomen.";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-f5de1e41-5207-4d9e-a4f8-7889b5c1e2b1";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"384";"";"Gerechtelijke uitspraak";"";"EAID_28BCD751_DDE7_42b6_9E6B_579B382BC84A";"";"class";"";"";"Een gerechtelijke uitspraak is een formele beslissing van een rechter of gerechtshof in een juridische procedure. Deze uitspraak bevat de beoordeling van de feiten, de toepassing van het recht en de uiteindelijke beslissing over het geschil dat aan de rechter is voorgelegd. Een gerechtelijke uitspraak kan verschillende vormen aannemen, zoals een vonnis, arrest, beschikking of een kortgedingbeslissing, afhankelijk van de aard van de procedure. Het doel van een gerechtelijke uitspraak is om een bindende oplossing te bieden voor het conflict tussen partijen, en het kan zowel betrekking hebben op civiele, strafrechtelijke, bestuursrechtelijke als andere juridische kwesties.";"";"";"";"";"";"";"";"";"";"6 Sociaal Domein > Sociaal Domein Generiek";"";"09072026-00:43:48"
"385";"";"Geslachtsaanduiding MEDEWERKER";"";"EAID_1A398341_6C0F_43b2_9A22_9DF3CF68EDF0";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"99 Kern > RGBZPlus";"";"09072026-00:43:48"
"386";"";"Gestopt betaald werk";"";"EAID_16333246_B1C9_E9E9_D5B6_2791C02E05CB";"";"class";"";"";"*Gestopt betaald werk* is de situatie waarin iemand **zijn of haar betaalde arbeidsrelatie heeft beëindigd**, waardoor het reguliere inkomen uit werk is komen te vervallen en dit relevant is voor de beoordeling van een uitkeringsaanvraag of inkomenssituatie.";"";"Binnen gemeentelijke inkomens- en bijstandsadministraties (zoals onder de Participatiewet) speelt de situatie *gestopt betaald werk* een rol bij de vaststelling van rechten en verplichtingen. Het duidt op het moment waarop een persoon niet langer in dienst is en geen loon meer ontvangt, bijvoorbeeld door ontslag, beëindiging van een tijdelijk contract, eigen vertrek of einde arbeidsovereenkomst. Dit kan bepalend zijn voor het recht op bijstand of andere inkomensondersteuning en voor de vaststelling van de startdatum van de uitkering. In de Participatiewet staat het stimuleren van deelname aan reguliere arbeid centraal, maar als iemand stopt met betaald werk zonder voldoende inkomen volgt mogelijk een aanvraag voor bijstand.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"387";"";"Gestopt of verkocht eigen bedrijf";"";"EAID_0B7F7AD1_661C_8F1C_4F9A_2791C1C74BAB";"";"class";"";"";"*Gestopt of verkocht eigen bedrijf* is de situatie waarin een persoon zijn of haar **bedrijf volledig beëindigt of overdraagt/verkoopt**, waardoor de zelfstandige activiteit ophoudt en de reguliere inkomsten uit de onderneming verdwijnen.";"";"Deze aanduiding wordt gebruikt in inkomens- of uitkeringsadministraties om aan te geven dat iemand **niet langer actief is als ondernemer** doordat het bedrijf is gestopt (bijvoorbeeld definitieve beëindiging van de bedrijfsactiviteiten en uitschrijving bij de Kamer van Koophandel) of is verkocht aan een andere partij. Dit kan relevant zijn voor de beoordeling van **recht op een uitkering** (zoals bijstand of BBZ-ondersteuning) omdat de beëindiging of overdracht van de onderneming leidt tot het wegvallen van bedrijfsinkomen en daarmee invloed heeft op de inkomenssituatie. Stoppen met het bedrijf kan ook voorwaarden uitlokken voor regelingen zoals het **Besluit bijstandverlening zelfstandigen (Bbz)** of reguliere bijstand als laatste vangnet.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"388";"";"Gestopte bijstanduitkering";"";"EAID_15ABBF00_EC46_89CA_680B_2791C070D8E5";"";"class";"";"";"*Gestopte bijstandsuitkering* is een reden van aanvraag binnen de GBI-Ontologie die aanduidt dat een cliënt een inkomensdienst aanvraagt omdat **een eerder ontvangen bijstandsuitkering is beëindigd**.";"";"Binnen het GBI-model voor *Reden aanvraag* fungeert *Gestopte bijstandsuitkering* als een specifieke **categorie van terugkerende instroomreden**. Het beschrijft de situatie waarin een persoon **weer inkomensondersteuning aanvraagt** nadat een bijstandsuitkering eerder is gestopt—bijvoorbeeld omdat het recht op die uitkering is geëindigd (omdat er inkomen uit werk was, verhuizing, wijziging in omstandigheden, etc.). Deze aanduiding helpt administraties te structureren **waarom een nieuwe aanvraag plaatsvindt** en komt in de GBI-semantiek voor onder de Reden aanvraag.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"389";"";"Gestopte detentie";"";"EAID_16F72E30_A6E2_CEC4_6AB8_2791C1C8CC09";"";"class";"";"";"*Gestopte detentie* is een reden van aanvraag binnen het GBI-model die aangeeft dat een persoon **vrij is gekomen uit detentie**, waardoor de detentie-periode is beëindigd en dit relevant is voor de beoordeling van een nieuwe aanvraag of wijziging in de ondersteuningsbehoefte.";"";"Binnen het GBI-Ontologiemodel (bijv. *Reden aanvraag* of *Reden instroom*) geeft *Gestopte detentie* aan dat de vorige situatie van detentie **afgelopen is** en dat dit de aanleiding vormt voor een nieuwe aanvraag, bijvoorbeeld voor inkomensondersteuning of het vaststellen van begeleiding na vrijlating. Het markeert een specifieke overgangssituatie waarbij de cliënt niet langer in detentie verblijft en daarom opnieuw door de gemeente beoordeeld wordt voor passende diensten of ondersteuning. Deze aanduiding helpt administraties te structureren **waarom een aanvraag wordt gedaan** in relatie tot de beëindiging van een detentieperiode.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"390";"";"Gestopte of verlaagde alimentatie";"";"EAID_1632E282_377B_77CF_BF11_2791C070C097";"";"class";"";"";"*Gestopte of verlaagde alimentatie* is een reden van aanvraag binnen het GBI-Ontologiemodel die aangeeft dat een persoon een inkomensdienst aanvraagt omdat **alimentatiebetalingen zijn gestopt of verlaagd**, waardoor het reguliere ondersteuningsinkomen is verminderd.";"";"Binnen het GBI-model *Reden aanvraag* fungeert *Gestopte of verlaagde alimentatie* als een **specifieke instroomreden** voor inkomensondersteuning (zoals bijstand). Het duidt op een situatie waarin alimentatie — bijvoorbeeld partneralimentatie of kinderalimentatie — **niet langer wordt ontvangen of structureel is verlaagd**, wat kan leiden tot een tekort aan middelen voor levensonderhoud. Dit kan voortkomen uit gewijzigde omstandigheden achter de alimentatie (bijv. rechterlijke herziening, verandering van draagkracht of einde van de onderhoudsplicht). Het begrip wordt in het model gebruikt om administratief vast te leggen **waarom een nieuwe aanvraag voor ondersteuning wordt gedaan**.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"391";"";"Gestopte studiefinanciering";"";"EAID_1F0AACC8_0CDE_849C_C1CC_2791C070CCF8";"";"class";"";"";"*Gestopte studiefinanciering* is een reden van aanvraag binnen de GBI-Ontologie die aangeeft dat een persoon een inkomensdienst aanvraagt omdat **de studiefinanciering is beëindigd of gestopt**, waardoor het (studie)inkomen wegvalt en inkomensondersteuning nodig kan zijn.";"";"Binnen het **GBI-model ‘Reden aanvraag’** functioneert *Gestopte studiefinanciering* als een **specifieke subtype-reden** voor het aanvragen van een gemeentelijke inkomensvoorziening (zoals bijstand of andere ondersteuning). De term duidt op de situatie waarin een betrokkene niet langer recht heeft op studiefinanciering — bijvoorbeeld omdat de opleiding is beëindigd, de student is uitgeschreven of de financieringsvoorwaarden niet meer zijn vervuld — waardoor een tekort aan middelen ontstaat dat kan leiden tot een nieuwe aanvraag voor inkomensondersteuning. Het begrip wordt gebruikt om **de reden van instroom in een inkomensdienst gestructureerd vast te leggen**.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"392";"";"Gestopte uitkering";"";"EAID_1BDF5AAF_EDC4_87BC_16F2_2791C06DC1FA";"";"class";"";"";"*Gestopte uitkering* is een subtype van **Reden aanvraag** binnen het GBI-Ontologiemodel dat aangeeft dat een cliënt een inkomensdienst aanvraagt omdat **een eerdere uitkering is beëindigd**, waardoor opnieuw inkomensondersteuning nodig is.";"";"In het GBI-model *Reden aanvraag* worden meerdere specifieke **aanvraagredenen** onderscheiden om te registreren waarom iemand een inkomensvoorziening aanvraagt. *Gestopte uitkering* duidt op de situatie waarin een vorige uitkering (bijv. bijstand, WW, arbeidsongeschiktheidsuitkering) **is stopgezet of geëindigd**, en dit verlies van inkomen aanleiding geeft voor een nieuwe aanvraag van ondersteuning. Deze reden helpt gemeenten om administratief vast te leggen wat de achterliggende oorzaak is van de aanvraag.";"";"";"";"";"";"";"";"Inkomen > Reden aanvraag";"";"09072026-00:43:48"
"393";"Geweldsincident";"Geweldsincident";"fddeb5c4-571e-45ec-8bde-86cc9702ff18";"EAID_41AFF74F_ADBE_4f3f_AB2F_25027A70E573";"business-object";"class";"";"Een gebeurtenis met betrekking tot agressie en omvat het veroorzaken van verwondingen of schade bij mensen, dieren, of voorwerpen.";"Een gebeurtenis met betrekking tot agressie en omvat het veroorzaken van verwondingen of schade bij mensen, dieren, of voorwerpen.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-fddeb5c4-571e-45ec-8bde-86cc9702ff18";"";"";"9 Interne Organisatie > HR";"";"09072026-00:43:48"
"394";"";"Gezagsverhouding";"";"EAID_C18BB25F_536F_4b80_BC7C_7855DF2D7389";"";"class";"";"";"Een gezagsverhouding is een juridische of feitelijke relatie tussen twee partijen, waarbij de ene partij (de gezagsdrager) bevoegd is om instructies of richtlijnen te geven, en de andere partij (de ondergeschikte) verplicht is deze op te volgen. Deze verhouding speelt een belangrijke rol in verschillende contexten, zoals arbeidsrelaties, waarbij een werkgever zeggenschap heeft over een werknemer, of familierecht, waar ouders gezag uitoefenen over hun minderjarige kinderen. Een gezagsverhouding impliceert doorgaans een zekere mate van hiërarchie en verantwoordelijkheid, waarbij de gezagsdrager verplicht is om zijn bevoegdheden zorgvuldig en in het belang van de ondergeschikte uit te oefenen.";"";"";"";"";"";"";"";"";"";"6 Sociaal Domein > Sociaal Domein Generiek";"";"09072026-00:43:48"
"395";"Gezinsmigrant";"Gezinsmigrant en Overige migrant";"";"EAID_526489DC_4D57_4e6d_8338_5F7C898162F6";"business-object";"class";"business-object";"Inburgeringsplichtige die verblijf heeft op grond van gezinshereniging of andere migratiereden, niet zijnde asiel.";"Object Inburgeraar is gespecialiseerd in Asielstatushouder en Gezinsmigrant en Overige Migrant.

Gezinsmigrant en Overige Migrant heeft geen kenmerken en is bedoeld om relaties te leggen met objecten die alleen van toepassing zijn voor Gezinsmigrant en Overige Migrant zoals bijvoorbeeld: object Aanvraag Sociale Lening. Hetzelfde geldt ook voor object Asielstatushouder, deze heeft overigens wel kenmerken.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-61601c33-5b61-4bab-9191-e7eb1b1bca07";"";"";"6 Sociaal Domein > Inburgering";"";"09072026-00:43:48"
"396";"";"Gezinsrelatie";"";"EAID_8F83BD4F_86BF_459d_89EF_6E7CE6DCA385";"";"enumeration";"";"";"";"";"";"";"";"";"";"";"";"";"99 Kern > RSGBPlus";"";"09072026-00:43:48"
"397";"Groenobject";"Groenobject";"360b8000-41ce-453f-bed8-b0cc7fa21164";"EAID_B4935E75_46CA_414D_949D_30A8B801FD5";"business-object";"class";"business-object";"Kleinste functioneel onafhankelijk stukje van een terrein dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, met aaneengesloten vegetatie.";"Kleinste functioneel onafhankelijk stukje van een terrein dat er binnen het objecttype Terrein van NEN 3610 wordt onderscheiden, met aaneengesloten vegetatie.";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-360b8000-41ce-453f-bed8-b0cc7fa21164";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"398";"Grondbeheerder";"Grondbeheerder";"cd7b6b9c-3bf7-4c3a-bbde-e72f38d76fe0";"EAID_B53EC85A_C731_4fb6_8379_7D11802273B2";"business-object";"class";"business-role";"De verantwoordelijkheid voor het beheer van gronden.";"Beheerder van grondgrondbeheer., oplossing voor duurzaam landbeheer en voedselproductie";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-cd7b6b9c-3bf7-4c3a-bbde-e72f38d76fe0";"";"";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing > Beheer Openbare Ruimte";"";"09072026-00:43:48"
"399";"";"Grondslag";"";"EAID_94E2B19A_6942_4164_8A52_3C0BBDE45808";"";"class";"";"";"Een *grondslag* is de juridische of normatieve basis waarop een besluit, handeling of rechtspraak steunt; het is hetgeen zijn **basis vindt in wetgeving of andere geldende rechtsregels**.";"";"In (bestuurs)recht en regelgeving verwijst *grondslag* naar de **wet, regel of rechtsbron** waarop een besluit of maatregel is gebaseerd. Het duidt op de formele reden waarom een bestuursorgaan, rechter of andere instantie bevoegd is om tot een maatregel, besluit of ingreep over te gaan. Voor besluiten moet de grondslag helder zijn zodat duidelijk is **welke wettelijke bepaling, artikel of norm** de basis vormt voor het genomen besluit";"";"";"";"";"";"";"";"1 Veiligheid en Vergunningen";"";"09072026-00:43:48"
"400";"Gunning";"Gunning";"70e40543-6a99-433d-8a01-f4273e308410";"EAID_3FB9B466_D147_42d7_99D1_2D14A007D16C";"business-object";"class";"business-object";"Formeel besluit waarmee de gemeente een opdracht toewijst aan een ondernemer op basis van een aanbestedingsprocedure.";"Gunning van een (enkel of meervoudige) onderhandse aanbesteding, of een nationale of Europese aanbesteding 
Of voor levering personeel";"";"";"";"";"";"";"https://gemmaonline.nl/index.php/GEMMA/id-70e40543-6a99-433d-8a01-f4273e308410";"";"";"9 Interne Organisatie > Inkoop";"";"09072026-00:43:48"
